EngineSize;Horsepower;Weight;MPG;Cylinders;Price
3412;176;716;33.63494404645195;6;70114
2163;98;700;42.47852708266482;8;38926
6286;319;1897;17.99488225830859;4;80000
2278;88;700;36.5351472905433;4;38669
3356;136;896;29.840359563148606;6;69266
1575;82;700;40.720451626072865;4;31442
4814;233;1534;20.26652548224894;4;80000
834;50;700;43.65460071945091;4;17080
3952;224;1523;33.972161687586556;4;78970
2755;111;1205;33.75492238626473;4;49259
2385;170;720;39.96114758240092;4;56198
4743;224;929;22.60555373057453;4;80000
3873;201;1339;35.94828769793166;3;75882
1821;123;700;46.40782019919413;6;40043
4261;242;1573;30.468064669679627;6;80000
3413;210;1240;38.908757804930566;6;71772
6025;270;2162;20.942378924782986;4;80000
4643;209;1444;29.09055134244867;4;80000
2300;119;700;42.285801630194605;6;43658
5598;296;1589;22.549155359295348;6;80000
6475;323;1833;12.967867615244817;5;80000
961;50;700;47.561890065703196;4;17879
5097;264;1671;23.09942121669961;8;80000
2781;135;858;34.90241053713362;4;59939
1795;85;700;41.91868474943607;5;31749
5711;239;2239;23.143842639152112;6;80000
4142;223;1425;29.740403902018652;5;76792
5351;270;1285;25.152188608471928;4;80000
4598;265;1276;24.88942859781941;4;80000
2075;102;808;39.49688861583015;6;46148
1816;102;700;43.46725635135262;4;30154
1137;73;700;49.63337352931015;4;29207
1678;50;700;47.989306766919626;4;27233
1876;146;700;41.91893004818319;6;38069
5687;275;1684;24.085029480236823;4;80000
4793;249;1424;31.979737494445573;12;80000
5659;295;1615;19.692491889799513;5;80000
1179;50;700;45.994099558137755;12;36753
1292;101;700;45.84502884845844;8;43026
6076;309;1851;23.963584308230235;5;80000
2862;138;783;32.27857585839133;4;53677
4684;236;1531;23.761782648598448;4;80000
864;58;700;45.74414663331412;4;17969
3368;168;964;34.2931829869649;6;70970
6263;330;1616;22.053591861201422;4;80000
6048;268;1501;21.312631327436815;4;80000
2827;126;700;35.41076030966915;4;58363
3495;131;1104;33.77438433426842;8;78119
2295;154;700;39.42813342882335;4;41428
6058;342;1521;24.945049289963364;3;80000
6418;333;2054;18.406976830705595;4;80000
1191;50;700;42.89574975934231;8;31445
5314;313;1474;24.77882709021549;6;80000
5274;251;1234;24.225455958015594;4;80000
4361;213;1166;23.482019932975984;4;80000
3078;157;1094;34.56304381513349;4;52746
3899;203;1279;30.202785263781983;4;80000
1000;62;700;43.36838440266205;8;31891
5675;297;2006;24.731749862868917;6;80000
3904;192;1440;28.122961210164014;5;80000
5398;283;1472;24.376855858573617;8;80000
3254;158;827;33.286429000468814;4;68011
4445;233;1214;28.098085016940345;6;80000
1604;90;700;43.2153588731376;8;32291
3531;191;1249;28.422276848326995;4;70564
3573;191;1156;32.70998267520435;6;73554
2370;109;886;45.01684246913962;4;45027
5856;301;1891;16.049709962363828;4;80000
6381;332;2257;17.922176108853485;4;80000
3490;148;835;35.91971797447145;4;66046
4640;226;1468;27.704857743860792;6;80000
1828;103;700;42.9239008563481;8;38422
1302;99;700;36.36300196672215;6;34208
5293;281;1572;25.32974812388985;8;80000
1670;118;700;39.364935381299205;6;44785
5288;256;1566;24.48963185374944;4;80000
1006;55;700;44.88169580727153;5;21632
5934;312;1702;27.164999087484897;4;80000
2284;67;959;40.22008597129762;6;48656
1663;113;700;41.34712851221165;8;38304
3590;142;1426;27.520921722239333;4;69027
1363;88;700;43.548440705549694;6;30647
5916;309;1866;22.88968663504047;6;80000
4991;202;1258;24.803344324542334;6;80000
2557;82;954;35.69803092018768;4;57869
2478;152;700;35.892240008461044;4;46896
4042;226;973;31.39542430636596;3;77413
5436;254;1733;25.09816381792747;4;80000
1859;75;700;44.788630345963355;3;33571
6079;314;1671;16.620000320368927;6;80000
2522;125;754;38.967932675252854;4;55763
4114;226;1677;29.064888136746397;8;80000
3957;207;1049;29.938297386100157;5;80000
3425;202;935;34.080477562102004;6;72729
3529;195;1205;33.577968760874846;4;74790
2397;134;700;39.60130431737472;6;53125
3860;185;1246;27.52758642341257;8;77075
3493;166;1289;30.28556577850062;4;75194
5691;283;1645;26.002604826553053;4;80000
5947;334;1989;19.60328259755748;6;80000
4427;213;1386;28.783043194053686;4;80000
2163;113;700;42.34899893612956;4;50862
2781;94;794;37.48532921708245;4;50813
6250;326;1799;20.38956789291612;4;80000
2463;168;721;40.368733037731275;6;52811
2329;97;729;32.005008717309;4;58271
2838;205;969;34.340149534518396;8;69491
6392;323;2019;19.445817389498774;6;80000
4102;153;744;33.65293292117297;6;79938
3037;144;891;35.01328667896732;6;63941
6304;341;1589;15.945850614731715;8;80000
6296;354;1833;16.065741851168493;4;80000
2106;119;700;42.121583610359224;8;44832
4829;272;1643;25.20167925282434;6;80000
3475;150;1036;32.60339986262899;6;63668
5868;279;1812;22.505090581316956;6;80000
2082;70;783;30.885428951919266;4;36043
1509;63;700;48.45610253452424;4;24552
6375;333;1887;15.931778494846816;6;80000
6330;320;1917;19.075809108420717;3;80000
5544;294;1665;17.16590895951119;6;80000
5213;241;1455;22.667376668784886;4;80000
4548;209;1210;30.994064139095293;4;80000
6153;311;1391;13.486498461002363;4;80000
5579;266;1458;25.483600261567425;3;80000
1463;99;700;41.86391171130285;5;36119
2798;127;1090;37.47149332066057;4;55806
4245;202;1311;30.74757324045533;12;80000
4543;235;1337;28.609264498472776;6;80000
2295;106;700;35.93014804510752;4;42428
4104;180;1237;28.38635256039493;6;80000
4563;206;1199;22.800331468247553;8;80000
6032;312;1844;21.315388994764238;6;80000
2653;105;845;41.841165462047776;4;48863
6416;348;1752;12.446677339970615;8;80000
5459;259;1461;20.420062281585892;6;80000
2091;116;819;38.9996741723512;4;37417
4381;206;1303;28.615024271140662;4;80000
4257;194;1120;31.352528904303277;6;76150
2436;126;700;37.363400058927;4;52874
4496;245;1146;26.572123820663048;6;80000
3799;185;1126;34.31439211820922;4;74955
3952;196;1351;32.22598670118991;8;80000
1498;91;700;44.126933927103295;6;37081
2960;164;1360;35.537547134764345;4;70922
4897;244;1553;28.46445663275958;4;80000
5537;267;1707;20.346071826309203;6;80000
6485;325;1763;15.196917153441769;6;80000
1654;78;700;43.96830296060798;6;27289
4274;219;1126;23.754892092259276;4;80000
6049;278;1381;20.03153852890946;4;80000
5972;304;1986;19.190324943212463;3;80000
2507;110;700;33.247735808041135;6;55490
3577;196;921;29.3211972608512;4;71026
2533;113;802;37.00807172311395;4;53784
6335;303;2002;21.426889769497066;6;80000
5731;295;1655;19.386126026226567;8;80000
4310;215;1292;32.09014419971498;4;80000
1002;95;700;45.179537682669554;4;24528
4055;170;1144;33.656154106509916;6;80000
5018;253;1565;23.096525173659856;6;80000
5296;287;1256;23.373571235683894;4;80000
1566;66;700;43.27545081001099;8;33697
5189;241;1677;23.516468611775466;6;80000
3127;138;700;37.22407244143571;4;57328
3731;154;1166;24.7223088241292;4;71934
997;76;700;52.28221661636982;5;20784
2730;129;746;38.92332382098549;6;43555
4382;210;1148;27.569404512894952;3;80000
1408;50;700;41.30303497926797;6;28544
4072;174;1567;27.04073816565434;6;70212
1947;126;700;42.20184642250921;4;52449
5082;260;1589;27.57494500637706;6;80000
4197;233;1122;28.5274216156103;8;80000
3311;186;754;36.76597123893551;3;62402
2594;109;770;34.30821985971664;4;52670
1459;121;700;39.45356745003949;4;35203
3611;219;728;37.38502361573665;8;80000
2169;97;811;40.92832584061563;12;45272
2786;67;1006;40.26054460543998;4;55837
6430;314;1757;15.288180874836923;6;80000
946;52;700;42.49942382469381;5;25028
4019;189;1406;28.829172041627373;5;76790
3711;181;1154;28.972823475382967;4;80000
2534;110;700;39.44609563068535;4;52915
2643;150;746;34.53162182922066;4;69031
1288;65;700;40.04499042579813;6;32855
3776;207;1182;31.546046236765697;3;73579
2759;162;935;32.33504147252436;8;65145
3185;115;1023;28.676608205573835;4;65290
3719;170;944;31.804771701583835;4;74749
5536;264;1536;17.07233987096937;5;80000
2602;181;848;39.31583818888627;6;61848
6334;319;2063;14.14399882124161;4;80000
4861;259;1678;18.972978640740756;4;80000
4169;170;1079;28.27361004957762;12;80000
1062;55;700;45.12378350988945;4;23311
1423;90;700;44.35942519104582;4;29811
1816;108;700;41.43604709704756;6;35130
4443;234;1630;24.607062136646775;4;80000
5776;289;2060;23.259183542779812;5;80000
2849;143;1379;38.63541551943924;4;59045
6223;277;1913;15.267713614633386;4;80000
4523;208;1404;26.84198158402116;4;80000
5348;272;1769;22.436679918672944;4;80000
3908;181;1331;31.121144748364102;4;80000
6079;317;2048;18.990228624677673;3;80000
4890;253;1623;25.34636668378107;6;80000
2856;170;835;37.64544659072507;4;67737
3970;217;1435;26.8084407011966;4;79978
2482;128;700;39.80211940578248;8;58083
3055;167;917;38.14839819459375;6;66755
1954;117;898;45.13240498046661;3;42166
5299;254;1339;17.07489802758792;8;80000
3991;192;1061;29.496295028654348;4;78597
2496;122;883;31.624698276939228;4;50758
4791;230;1516;18.73980893068153;6;80000
5523;296;1481;22.817279142822436;5;80000
5482;261;1561;21.392544621448916;4;80000
2448;147;700;38.659552855312235;4;56175
6339;309;2097;19.76338307026195;5;80000
2245;121;700;42.51868787432376;4;48234
4999;253;1858;25.166761275917338;8;80000
4723;216;1433;35.155066851957265;4;80000
1053;52;700;45.654229564955635;8;30594
3983;205;1131;35.61243713370163;6;79995
3357;166;958;26.21648659842726;6;70317
6392;292;1939;22.089218588651875;6;80000
898;78;771;44.96771853061332;6;21727
3000;151;832;29.154958221718186;4;64764
3761;172;1067;32.45663532768436;4;67190
5773;321;1745;20.22613338604705;4;80000
5233;273;1787;25.57515974534443;8;80000
4577;204;1088;30.148229372653233;6;80000
3669;162;1191;27.187549649715216;4;69129
4034;197;1046;32.87475694736547;4;73682
4591;235;1487;27.064438452662152;4;80000
1756;100;700;45.278523524079816;6;38028
4867;262;999;25.049555313006394;5;80000
960;58;700;43.78877332240574;6;27022
6499;351;2021;17.586162122066856;12;80000
5293;267;1472;23.840582119139558;4;80000
2100;89;700;37.5116455955248;5;48487
5711;285;1451;19.956085807134148;4;80000
4787;237;1590;22.384373396458635;4;80000
2327;64;874;37.06106473062942;4;45416
6311;304;1717;20.47393017999274;4;80000
6054;308;1708;19.317937478281568;8;80000
2018;92;700;42.93719588814198;4;35279
5296;251;2042;22.963711597040778;5;80000
5535;294;1769;18.030446006830058;8;80000
3904;176;982;32.27182466266975;6;76946
3535;190;1121;30.304130576899794;4;71236
5355;241;1331;22.5248981337094;6;80000
1754;142;700;44.942716142452355;4;32613
5365;263;1944;19.69238862083546;6;80000
4246;205;1609;29.264231362393154;6;80000
1845;115;700;40.653444949892624;6;41050
2493;116;700;39.63777714631131;4;49728
4236;240;1010;31.385460096446067;6;80000
1362;75;700;43.98151701274667;4;27138
3285;161;700;32.493876060258806;4;73030
4154;203;1384;30.65011751207788;4;80000
1025;75;700;48.88196769143369;4;27299
5693;289;1889;21.453130181080898;4;80000
1759;96;813;40.40323165673092;6;31663
6400;330;1939;19.164510773003972;8;80000
5348;270;1633;23.376181061108838;4;80000
3867;203;1067;26.6518717282466;4;80000
1615;78;700;42.642992401192444;4;28183
5554;276;1811;18.18971277370871;4;80000
5442;249;1597;23.913441939225336;3;80000
6111;311;1769;17.0535718267803;8;80000
3920;161;1172;30.510624412559036;4;79020
816;50;700;47.09178171859771;4;15088
2043;96;700;47.14671003783071;3;35646
3005;157;888;37.203249885360776;8;67935
3324;145;1046;37.474396429227;6;68731
1869;51;792;46.27024345608177;8;39535
4244;205;1225;30.247767750998335;6;80000
3365;147;865;34.032069400801596;4;71928
1860;57;700;37.49983667352136;4;35257
3127;171;1148;34.015110202798816;6;77881
4220;243;1672;26.730736811092413;4;80000
1101;50;700;43.29182344962684;6;12883
5076;252;1303;30.231990128577408;3;80000
1406;64;700;43.31386452759997;4;31764
3970;185;1213;27.522301266851674;5;80000
1499;88;700;46.62860036407392;6;29474
5888;314;1588;23.425826428712345;6;80000
1939;79;700;43.32796047780119;4;46153
990;50;700;39.031609390692815;5;23351
3100;180;878;40.346012873164455;4;66535
1780;102;719;39.42445577371834;4;41999
3775;205;1229;33.45886431837827;4;80000
1984;126;706;47.65139937185109;4;45480
4127;233;1217;35.83099824457185;4;80000
4194;230;1729;26.09731362358194;4;80000
927;50;700;41.03144798899318;4;23140
2865;135;981;39.96603979654378;4;61560
2616;132;700;37.346167434782004;4;44682
1369;57;700;41.65235567609376;4;29191
6242;273;1751;20.653655640817142;4;80000
2695;129;1134;36.03636126762168;6;55646
3533;183;1112;34.43897241114623;4;75257
4663;221;1280;26.885945423456196;4;80000
5521;272;1731;24.5621637849845;4;80000
4814;237;1451;23.246401932590835;6;80000
3701;212;1011;35.7683860393979;8;80000
2486;117;700;39.66287011219732;6;51674
3809;217;1430;32.893892108210714;6;76067
954;50;700;41.876990218964025;5;24695
3337;193;1435;38.41389724993274;6;60235
2209;136;850;38.913851701901194;6;37077
4857;260;1567;27.899146587289522;4;80000
1584;50;700;41.11152660876017;4;18579
3975;219;973;30.90766719404629;4;74169
5141;256;1498;25.186382056358216;8;80000
6396;269;1693;9.560207203989737;5;80000
3606;206;1211;33.717344373964494;6;75367
1337;95;727;49.211024385166255;4;35412
2641;93;740;38.41434077697587;4;51006
5816;294;1933;18.04687525333079;4;80000
3255;190;838;35.67488469846166;4;73889
1324;90;700;46.55844159052002;6;23787
6425;337;1764;19.412399548571162;6;80000
3750;134;700;31.027618680709868;4;62318
4931;261;1471;24.618552322528206;6;80000
5580;274;1699;21.36107073389958;4;80000
4915;265;1687;27.518330703033637;12;80000
3168;163;1109;29.938628014821113;4;68084
4647;231;1555;25.64938051743378;4;80000
5295;277;1393;28.311829469032844;4;80000
3501;171;1142;37.39758579973153;4;68233
1771;88;847;36.71055873659501;4;46041
1966;87;700;36.77575916620918;6;48906
6011;268;2169;19.13313826141619;8;80000
5729;297;2122;24.032768551343057;6;80000
3574;162;1018;26.647576937841023;4;61816
2782;135;700;35.92557409524757;5;53897
1653;88;700;40.312462530261065;4;29781
4946;205;1180;29.2478940228557;3;80000
4536;189;1257;22.289274578092236;6;80000
4569;222;1612;27.432621846480867;5;80000
1374;77;700;41.94917168795422;4;29276
4061;217;1010;34.10439677883186;3;80000
1948;65;700;42.052957939059745;12;51675
2515;138;700;35.66755302222679;3;59580
5577;273;1567;24.675159329987245;4;80000
5733;268;1617;20.16851344007428;5;80000
4654;219;1344;29.727989133719262;4;80000
5973;314;1646;19.423769027343265;4;80000
3291;170;825;36.70899973630629;4;75746
3460;174;1224;34.00824586538175;6;70723
3924;201;1387;40.161473242074265;5;80000
6491;343;1671;17.386311983751987;6;80000
3851;190;700;31.893586874864347;12;80000
804;50;700;44.54172577485221;6;22345
6022;323;1560;19.89805602226434;4;80000
6115;299;1877;11.319494597551678;4;80000
5669;295;1387;23.051752049623097;6;80000
1676;73;762;45.64862263884823;6;26271
1791;81;1046;42.234890013798065;5;42935
4942;245;1519;21.34841562606787;6;80000
5164;268;1530;21.774638541872996;3;80000
5265;287;1515;16.38442361853119;4;80000
1435;73;700;45.761772020596275;4;21358
6025;271;1921;16.85546012187126;4;80000
2493;137;948;37.44887422936331;4;48745
2482;173;700;37.12878728301834;6;55688
5552;279;1733;26.703181106974796;5;80000
919;50;700;45.66084395389721;4;28214
1630;84;700;44.27667876031803;5;41073
4475;223;1334;29.264391292442987;5;80000
5977;297;1608;24.193234259884196;4;80000
2169;127;885;38.43762891649113;6;43951
1540;104;700;47.908845991513545;6;45736
916;59;700;39.46301353080206;6;21405
3638;179;970;34.3824204940037;6;72206
1950;120;700;37.6501411740076;5;41130
2731;106;714;34.86675134166014;4;50325
1812;76;700;42.6482428007031;4;48349
2464;111;835;39.36420614954323;4;48359
1881;93;700;42.41428404107021;12;43022
5529;286;1715;18.196526167684286;4;80000
1312;61;700;47.78709069383772;4;21933
3649;164;829;29.053058645316973;8;80000
6015;320;2021;17.623138729324403;8;80000
6037;297;1958;21.72869021450049;6;80000
1359;69;700;42.34483647571628;3;32271
4472;234;1355;28.564782521687476;3;80000
5383;269;1823;16.615197910101635;4;80000
5792;290;1646;21.892973348557693;4;80000
4143;227;1182;29.938495638536647;3;80000
6108;308;1881;17.930424386707152;5;80000
4870;260;1369;19.42777212070563;8;80000
5599;290;1851;21.366575215555184;4;80000
2270;153;700;38.53787842060416;6;50061
1380;77;700;41.998313029008514;6;30807
3094;167;1049;29.021476606702507;4;63104
3947;219;955;35.04920202195075;6;76336
5049;253;1917;22.83841541616688;4;80000
2479;111;1060;36.9383860112313;4;51624
4306;205;1394;21.241577036345127;6;80000
5892;285;1853;25.32456604609462;4;80000
3544;158;1139;30.880350204797832;12;75771
4156;214;1148;29.515388451222606;4;80000
4845;229;1512;29.137212334449952;6;80000
2043;106;700;37.756087385850115;4;43848
5988;296;1897;22.94973496215963;4;80000
3918;195;1348;24.226023632176574;3;75051
5904;306;1695;22.13295997271394;6;80000
2941;136;763;40.01172649955896;6;61129
5853;305;1513;18.99374945834591;6;80000
3859;224;1449;34.06164486089519;5;75885
5348;274;1501;28.76176795658135;6;80000
6123;290;1797;18.620474485837946;6;80000
3759;175;1187;30.192415142450415;6;80000
3065;148;975;31.980118762503086;5;64454
3279;152;1133;32.0758095344446;6;64899
5446;252;1557;20.323920329182137;6;80000
2435;124;700;35.12766670471832;4;45908
6208;305;1599;22.55650589013407;6;80000
2557;131;700;34.845221924135224;6;57911
5252;286;1385;24.515565744158867;4;80000
2870;138;800;35.76470030564871;3;59982
3649;158;1356;36.249283687713366;4;69790
4051;194;1139;28.23553130383496;5;80000
4530;241;1283;28.493444139962968;6;80000
3289;177;983;35.92820910682833;4;63228
2431;131;700;42.31424882196174;6;59364
3616;168;1071;30.366739964864202;8;75311
1815;105;700;39.071322593802854;4;40808
2148;126;821;36.07465683811984;8;52717
5411;256;1823;29.65389886254472;12;80000
3887;193;1577;34.71841731454116;6;80000
3639;222;1205;31.67839581706387;6;72537
1135;50;787;50.11931745338117;12;25212
5392;235;1462;22.734409816903028;6;80000
1695;112;926;43.69823141430059;4;40279
4346;240;1227;28.300515705168163;6;80000
1651;73;700;42.93841635525141;6;30177
2487;122;722;38.44028432760064;6;54287
2731;112;775;35.07004387987005;4;55638
4546;229;1380;30.547495614256057;6;80000
3227;184;852;36.0128572530517;4;66089
2368;107;876;41.243083780504435;8;52905
4800;257;1329;26.960681556498038;4;80000
5852;301;1886;18.020290354668596;4;80000
3538;188;1366;37.43815819967311;4;73675
4298;205;1217;27.722331299297725;3;79321
6187;302;2014;20.157201085705246;6;80000
6336;279;2012;20.226144076466806;8;80000
6087;293;2276;20.637265148652858;6;80000
4713;258;1312;29.181251063690823;4;80000
1866;74;718;43.890133766949496;4;31309
5180;243;1228;23.425499490858257;6;80000
3244;175;874;38.65640202586694;8;68814
4907;253;1542;24.664289337516205;5;80000
4173;222;1530;30.145247146642365;5;78483
4769;215;1185;24.991965449187305;4;80000
3346;218;1161;31.249579432047625;8;72703
1553;53;700;45.367573266372595;6;35550
2882;147;700;44.95569069227814;4;60316
3574;175;1108;31.044720335039045;4;75654
3696;161;1450;35.16596472403424;8;72166
4985;241;1271;24.09726606189942;3;80000
1575;79;700;42.09354506943199;4;20325
2425;108;700;43.147751316695015;6;51202
3869;212;1066;27.434394144774082;4;80000
1217;57;700;39.90052279413063;4;23661
914;50;700;45.16840405371055;6;23128
1416;50;705;44.910968083813025;8;23229
4774;250;1654;27.520999715042645;6;80000
4067;173;1147;30.747037527078987;8;80000
1625;87;700;41.977395944534734;6;37992
2316;124;700;40.77962008095176;6;46761
3946;177;997;21.528982673865084;4;80000
1212;78;700;41.68758408473678;6;29227
1528;50;700;42.07916277214966;12;33294
4148;213;1119;31.37360439730753;4;80000
3608;179;772;36.4292954202057;4;69085
1475;71;700;39.96970087549858;5;25287
4265;189;1185;33.0462358766097;4;80000
3304;146;952;32.122314992395914;4;61897
3767;220;1191;30.77527065105794;6;75586
3586;203;700;33.81429755639284;12;71692
1922;110;700;39.780291762079685;4;27061
4879;262;1922;28.935352819998954;4;80000
2371;135;700;36.93118756466056;4;53086
5873;287;1258;19.466395026159;8;80000
5904;296;1481;23.635939862627996;5;80000
2943;117;1379;32.99562683519702;4;56203
2487;122;700;38.311787285949976;5;48010
4932;270;1711;20.35855199691853;4;80000
4651;219;1419;32.20391805618357;5;80000
4240;232;1175;32.419655808710324;8;80000
4566;230;1524;35.42032159874226;6;80000
6444;294;1456;21.795091194339157;6;80000
3126;134;700;30.981049311198554;4;67265
3714;204;1015;33.435949580481775;6;67664
5768;299;1461;18.405973713334586;6;80000
6192;311;1741;23.774112521159296;4;80000
4752;232;1596;22.93657913606728;6;80000
1395;73;700;39.57753534728061;4;28260
1528;94;724;37.53056563890994;6;30599
2165;137;700;37.709860536210996;4;51152
5292;295;1786;21.471566525649287;12;80000
1498;82;700;38.7250526824822;4;38144
1195;56;700;49.99442731273057;6;19653
4971;251;1787;26.734642089159934;6;80000
5160;268;1406;25.436703619570135;6;80000
3302;175;1059;38.257493257743775;4;65494
2619;157;939;37.67377337612881;5;57903
1517;118;700;40.16895939548458;6;37316
3582;174;841;26.98937077244703;4;76485
5746;330;1934;18.85482782296979;4;80000
4377;242;1117;32.631246801525386;6;80000
6286;312;2047;14.80399165294152;5;80000
943;77;700;46.34438171399363;4;22884
5780;322;1897;24.201775429256674;4;80000
3940;187;940;31.156034521329754;4;80000
5291;299;1704;24.74194998637175;6;80000
3738;208;1338;33.276811738620275;6;74400
6388;366;1955;19.19784261546795;6;80000
4436;213;1167;32.64722251741985;12;80000
4022;194;1390;26.76912481531717;5;80000
1967;57;700;40.886274630516354;4;30275
3416;182;700;27.46527869800856;3;62908
1862;100;700;34.46876143844039;4;35334
2956;136;781;34.97498690744405;8;56658
5961;296;2089;21.82513870683427;5;80000
6105;279;2097;24.367003331712695;4;80000
3782;213;1399;38.349375199031385;4;78969
4094;194;1274;33.48958201199644;6;80000
5529;338;1841;24.536497233194087;6;80000
1956;94;700;40.699894567321444;4;41543
6134;291;1841;14.736315810449867;12;80000
1532;68;700;41.90189018277461;5;29651
5130;228;1324;28.221130253774678;4;80000
5646;291;1735;24.464845568084122;8;80000
1753;79;863;37.37599755995115;4;37729
3339;189;1113;35.14707694177544;8;65216
4124;200;1420;30.96517843560316;12;80000
4101;232;739;30.544670360344213;6;79948
2342;132;1014;38.206433333868;6;55287
6093;305;1790;21.53175190083258;4;80000
1991;131;700;42.136939116737196;8;43705
6312;334;1858;16.515623703705785;5;80000
3793;248;840;32.40004218414629;6;80000
3481;165;1253;32.02681457775836;8;64659
2017;102;700;35.45329839676127;12;43746
2340;148;700;36.6151788948855;6;46088
4036;170;1177;25.128930943963724;4;80000
6341;343;2125;21.235280605210317;12;80000
3186;168;982;35.13766813266296;6;63541
4519;208;1073;26.338528166382165;8;80000
6415;293;2017;22.18656402986594;6;80000
2188;95;700;39.2639727227435;4;42993
2656;87;700;32.42633173209938;4;50408
2165;98;948;37.856564379448564;6;43265
1299;77;700;48.40356256181988;6;21406
2480;114;728;35.59157312473257;4;47212
1310;93;700;44.27566386627349;6;33419
5112;288;1813;26.671629873543917;4;80000
2124;131;1254;41.14984545366483;6;49547
1955;102;700;47.5733793968743;5;37572
2627;84;700;33.336090229230194;4;54029
3941;182;1151;27.065610758401593;4;65042
4286;211;1371;25.0907366586936;4;80000
2610;112;700;36.062244736949346;5;58451
3723;183;1183;34.68313216454736;4;80000
6101;337;1917;16.39979626061047;4;80000
3014;117;1169;38.27008151783181;8;54763
4986;285;1740;25.17538000978321;8;80000
1513;93;700;39.10800992036723;5;33320
4402;225;1623;22.73589013029643;12;80000
4934;232;1887;20.74728851857202;3;80000
4322;198;1302;26.39243977529823;6;80000
5068;220;1604;24.152546472770037;6;80000
5548;311;1310;26.298188930191355;5;80000
5649;313;1404;24.152264636564716;4;80000
2043;74;700;37.268176243759086;5;36281
4509;214;1263;28.680995850116503;4;80000
1881;102;700;45.54963880757672;6;33136
1255;56;700;49.34675226309011;4;22634
5724;247;1634;20.43678196533921;4;80000
1694;71;722;44.40486528911501;4;24967
2184;148;700;43.24986610066347;4;50294
2758;126;700;31.68878423046484;5;48670
3872;190;1186;29.10277873852091;4;80000
2796;116;835;42.680056203269785;8;59126
5085;266;1353;23.671891669637287;4;80000
1304;67;700;34.69314590589671;4;36111
2014;85;700;39.567114568839834;6;34802
2331;90;765;41.71887649734759;3;48377
4240;240;1798;28.819531310402688;6;80000
1623;50;700;44.0310918404019;6;45198
1728;96;700;44.17466599296719;4;34087
5829;248;1613;19.790187645703153;3;80000
6036;315;1724;18.26182104075687;4;80000
933;66;700;45.79532292786281;4;20540
2905;167;980;36.00833676878965;4;56502
4427;218;1497;28.027230459540913;4;80000
5580;310;1680;22.385469568047395;4;80000
2652;178;700;34.494361596137786;5;51877
5710;279;1490;23.700860730242844;6;80000
6068;294;1969;21.4576958413389;6;80000
4975;251;1526;21.116974900093624;4;80000
3733;177;1371;30.167513048742098;4;71580
4084;191;1283;29.85923961761834;8;80000
5098;244;1292;22.907060993171477;6;80000
3611;214;978;33.85711593276338;8;70273
6148;322;1957;19.05935238462859;4;80000
2050;92;757;40.25721758836556;6;42603
6451;273;2106;16.54287207755078;5;80000
4312;184;1083;22.460343529768156;4;79526
2056;112;700;33.56895503531265;5;48965
4176;166;1214;30.888828640076085;5;80000
6445;328;2221;18.57573622946818;4;80000
6062;281;1679;21.005986619053257;4;80000
4286;216;1376;28.97341852618874;6;80000
4384;220;1406;28.723702210120543;8;80000
2196;112;810;41.927070120856364;4;46108
